Sure. I can remove the **Registration** column and keep the remaining fields as:

 | Aircraft Type | Model | Seating Capacity |
| --- | --- | --- |
| FW | Beech Super King Air B200 | 8 |
| FW | EMB-135 (Legacy 600) | 13 |
| FW | B737-800 Freighter | Cargo |
| FW | B737-800 Freighter | Cargo |
| FW | B737-800 Freighter | Cargo |
| FW | Super King Air B300 | 4 |
| FW | Dornier DO-228-201 | 7 |
| FW | Super King Air B300 | 7 / Aerial Work |
| FW | Super King Air B300 | 7 / Aerial Work |
| FW | Super King Air B200 | 7 |
| FW | Cessna Citation 560XL Excel | 7 |
| FW | Falcon 2000LX | 10 |
| FW | Cessna Citation 560XL Excel | 9 |
| FW | Cessna Citation 560XL Excel | 9 |
| FW | Falcon 7X (M1000) | 14 |
| FW | Citation 525A CJ2+ | 7 |
| FW | Falcon 6X | 14 |
| FW | Cessna Citation 560 XL | 8 |
| FW | Cessna Citation II | 7 |
| FW | Falcon 2000 | 8 |
| FW | Falcon 2000 | 10 |
| FW | Falcon 2000 | 9 |
| FW | Falcon 2000 | 12 |
| FW | Falcon 2000 | 8 |
| FW | Stemme S6RT | 2 |
| FW | Stemme S6RT | 2 |
| FW | Beech SKA B200GT | 9 |
| FW | Embraer EMB135BJ (Legacy 650) | 10 |
| FW | Beech Super King Air B-200 | 7 |
| FW | Tecnam P2010TDI | 3 |
| FW | Tecnam P2010TDI | 3 |
| FW | PC-12/45 | 6 |
| FW | Tecnam P2010TDI | 3 |
| FW | Tecnam P2010TDI | 3 |
| FW | Tecnam P2010TDI | 3 |
| FW | Beechcraft Premier 1A-390 | 6 |
| FW | Beechcraft Premier 1A-390 | 6 |
| FW | Falcon 2000LX | 10 |
| FW | Cessna R172K | 3 |
| FW | Cessna 172S | 3 |
| FW | Cessna Citation CJ2 | 7 |
| FW | Embraer EMB-135 (Legacy 600) | 13 |
| FW | Challenger 605 CL-600-2B16 | 9 |
| FW | Challenger 605 CL-600-2B16 | 9 |
| FW | CL-600-2B16 CL604 Variant (CL605) | 9 |
| FW | CL-600-2B16 CL604 Variant (CL605) | 12 |
| FW | CL-600-2B16 CL604 Variant (CL605) | 12 |
| FW | Hawker 900XP | 9 |
| FW | Hawker 850XP | 8 |
| FW | Citation 525A CJ2+ | 7 |
| FW | Challenger CL600-2B16-CL604 | 9 |
| FW | EMB135BJ (Legacy 650) | 13 |
| FW | Cessna Citation 560XLS+ | 9 |
| FW | BD-700-1A11 (Global 5500) | 13 |
| FW | Hawker 850XP | 9 |
| FW | King Air 250 (B200GT) | 7 |
| FW | Falcon 2000LX | 8 |
| FW | Citation 525A CJ2+ | 7 |
| FW | PC-12/47E | 8 |
| FW | Cessna 206H | 4 |
| FW | Cessna T206H | Aerial Work |
| FW | Cessna T206H | Aerial Work |
| FW | Hawker 850XP | 9 |
| FW | Beech King Air C90A | 6 |
| FW | Beech Super King Air B-200 | 9 |
| FW | Beech Super King Air B-200 | 9 |
| FW | Beech Super King Air B-200 | 7 |
| FW | Beech King Air C-90A | 6 |
| FW | EMB-135 (Legacy 600) | 13 |
| FW | EMB-135BJ (Legacy 650) | 13 |
| FW | Hawker 800XP | 8 |
| FW | Hawker 850XP | 8 |
| FW | Challenger 650 CL-600-2B16 | 10 |
| FW | Hawker Beechcraft 900XP | 9 |
| FW | EMB-135BJ (Legacy 650) | 13 |
| FW | Falcon 2000EX | 9 |
| FW | EMB135BJ (Legacy 650) | 13 |
| FW | G-200 | 10 |
| FW | Bombardier Challenger 605 | 10 |
| FW | Beechcraft King Air B200GT | 7 |
| FW | Gulfstream G-150 | 7 |
| FW | Gulfstream G-150 | 8 |
| FW | Cessna Caravan 208B | 9 |
| FW | Cessna Caravan 208B | 9 |
| FW | Cessna 206H | Aerial Work |
| FW | Hawker 800XP | 8 |
| FW | Hawker 800XP | 7 |
| FW | Embraer EMB-135 (Legacy 600) | 13 |
| FW | Hawker 800XP | 9 |
| FW | Cessna Citation CJ2 525A | 7 |
| FW | Hawker 900XP | 9 |
| FW | Cessna T206H | Aerial Work |
| FW | BD-700-1A10 (G6000) | 13 |
| FW | Pilatus PC-12/47E | 8 |
| FW | Embraer EMB-135LR | 37 |
| FW | BD-100-1A10 | 9 |
| FW | Pilatus PC-12/47E | 8 |
| FW | Gulfstream GV-SP (G550) | 8 |
| FW | King Air C90A | 6 |
| FW | King Air C90A | 6 |
| FW | Super King Air B-200 | 8 |
| FW | King Air C90A | 6 |
| FW | King Air C90A | 6 |
| FW | King Air C90A | 6 |
| FW | Beechcraft 300LW | 9 |
| FW | King Air C90A | 6 |
| FW | Citation 525A | 7 |
| FW | G-150 | 8 |
| FW | Citation 525A | 8 |
| FW | EMB-135BJ Legacy 650 | 13 |
| FW | Bombardier BD-700-1A10 | 13 |
| FW | EMB-135BJ | 13 |
| FW | EMB-135BJ | 13 |
| FW | PC-24 | 6 |
| FW | PC-24 | 6 |
| FW | PC-24 | 6 |
| FW | PC-24 | 6 |
| FW | PC-24 | 6 |
| FW | Embraer EMB-500 (Phenom 100) | 4 |
| FW | Gulfstream G150 | 8 |
| FW | Hawker 900XP | 7 |
| FW | Super King Air B200 | 7 / Aerial Work |
| FW | Beechcraft Premier 1A | 6 |
| FW | Hawker HS 125 900XP | 9 |
| FW | Learjet 60XR | 8 |
| FW | Bombardier BD-100-1A10 | 9 |
| FW | Falcon 2000 | 10 |
| FW | P-180 Avanti II | 8 |
| FW | Embraer 135BJ | 13 |
| FW | Embraer 190-100ECJ (Lineage 1000) | 19 |
| FW | Cessna Caravan 208B | 8 |
| FW | Cessna Citation 560XL | 8 |
| FW | Beechcraft Premier 1A | 6 |
| FW | Cessna 172S | 3 / Aerial Work |
| FW | Cessna 172S | 3 / Aerial Work |
| FW | P68 Observer-2 | 4 |
| FW | King Air C90B | 6 |
| FW | Beechcraft Premier 1A-390 | 6 |
| FW | King Air C90GTI | 6 |
| FW | G-200 | 9 |
| FW | Bombardier Global 6000 | 13 |
| FW | Bombardier Global 6500 | 13 |
| FW | Bombardier Global 6500 | 13 |
| FW | Bombardier Global 6500 | 13 |
| FW | A320-232 | Cargo |
| FW | Falcon 2000EX | 10 |
| FW | Beech Super King Air 250 B200GT | 7 |
| FW | Cessna Citation 560XL | 9 |
| FW | Beech SKA B200GT | 7 |
| FW | King Air C90B | 6 |
| FW | SKA B200 | 8 |
| FW | King Air C90A | 6 |
| FW | Cessna Citation III (650) | 8 |
| FW | Cessna Citation 560XL | 8 |
| FW | King Air C90A | 5 |
| FW | Tecnam P2006T | 3 |
| FW | EMB-135BJ | 13 |
| FW | Falcon 2000 | 10 |
| FW | A319-115 CJ | 19 |
| FW | Falcon 900EX | 14 |
| FW | Global Express BD-700 | 16 |
| FW | Global Express BD-700 | 14 |
| FW | Global 6000 BD-700-1A10 | 14 |
| FW | Embraer 135ER | 37 |
| FW | Global 7500 BD700-2A-12 | 14 |
| FW | Global 7500 BD700-2A-12 | 15 |
| FW | B737-9 | 19 |
